user,rating
Stemband,Draft,3.0
goaliemom24,,3.5
rl92,Bottle,4.0
Koper,Bottle,3.5
cpr86,Draft,3.0
TimTar,Draft,3.0
PURDUDE,Bottle,2.5
linipin,Taster,3.5
fergumx,Can,3.5
SteveSeitz,Bottle,3.25
kevinwilliams,,3.5
Jeffd78,Bottle,3.5
Westleigh,,3.25
johnnyhale180,,3.5
Rbannon54,,3.5
marchal,Can,3.5
JeepMomma,,4.0
cassmar14,Bottle,3.75
Chloece,,3.5
TheDirtyKanza,Bottle,2.5
Joery23,Taster,3.5
765at33RPM,Can,3.5
Batdad,,3.5
Starrskii,Bottle,3.5
jeroenderuiter,,3.25
Aronver,,3.25
clafeber,,3.5
insanelayne,,3.5
MarcelHars,Can,3.5
sthicke,,3.5
glebbers,Bottle,2.5
daanliempde,Taster,3.5
tpitz,Can,3.5
wordyo24,,3.5
FadGadget,Bottle,3.5
LiviaFavilla,Bottle,3.5
bjorn15,,3.25
Shadyman,,3.25
LennardRamone,,3.5
NYRangers314,,3.5
emjofasho,,3.5
rb_pints,Can,3.5
hawkfanfred,,3.5
jbutler9917,Bottle,2.5
EvdE,Taster,3.5
tcoate,Can,3.5
Fuzko,,3.5
cdub414,Bottle,3.5
dickeylehner03,Bottle,3.5
sportron,,3.25
soup101_48,,3.5
BierologeGermanum,,3.5
JP526,Can,3.5
lepilepi2,Bottle,2.5
opperdop,Taster,3.5
ilsadz,Taster,3.5
weallwantsomeone,Can,3.5
Fuzko,,3.5
efraimrosa65,,3.25
PekkaK,,3.25
KLOAN,,3.5
jhous3s,,3.5
pepecarranza,,3.5
Jan_Reekers,Bottle,2.5
SanSamurai,Taster,3.5
Eric_lin,Can,3.5
BeersWithBenson,Can,3.5
birchfield,,3.5
Gregorym99,,3.25
bicknurke,,3.5
Stefanaj,,3.5
pablow91,Bottle,2.5
palmer73,Bottle,2.5
NatjeDH,Taster,3.5
thakfu,Can,3.5
sockhead,,3.5
DKomega13,,3.25
Georchie,,3.5
Wijndruif,Taster,3.5
Boots80,Can,3.5
sgsace,Can,3.5
HawksCubs2016,,3.5
MushtasticVoyage,,3.5
joeydale3,,3.5
gizmoziz,,3.5
gbay33,,3.5
user,serving,rating
po8315beer,Can,3.5
Bierpulleke,Can,3.5
VanDerPlaat,Can,3.0
Bassie_Bier,Bottle,4.0
hainge,Can,3.5
bokkie1990,Can,3.0
riccardo63,Bottle,4.0
heikkiyrjola,Can,3.5
kiidflash,,3.5
chadlandgraf,Bottle,3.5
kiidflash,,4.0
christopherpratt,Can,3.0
steven1986,Can,3.0
MrNeef,Bottle,4.0
phil-s,Can,3.5
nickjensen948,,3.5
landoncharles,Bottle,3.5
seanpoz1989,,4.0
gregorymcdonald25,Can,3.0
Enigma36,Can,3.0
JulianChiron,Bottle,4.0
Ligerhino,,3.25
Enk89,Can,3.5
Davidj124,Can,3.5
Beerfly66,,3.5
taifly728,Bottle,3.5
john612,Bottle,3.5
Squat007,Bottle,3.75
thedude332,,4.0
Pizzaking2005,Can,3.0
gregorymcdonald25,Can,3.0
Kooschroome,Bottle,4.0
abernauer,,3.25
Biernelis,Can,3.5
linipin,Can,3.5
Miki987,Can,3.5
DiscoverLocal,,3.5
ndurantz,Bottle,3.5
JohanSchuurmans,Bottle,3.75
headalien,,4.0
RichardTrott80,Can,3.0
djanzzn,Bottle,4.0
mellem78,Bottle,4.0
Joery23,Can,3.5
Rgeurink,,3.25
kell0ggs,Can,3.5
chevy1969,,3.5
AGillick,Bottle,3.5
coryostrowski,Bottle,3.5
BrandyPerry,Bottle,3.0
tek_22,,2.75
Kaanaitabashi,Bottle,4.5
adthrelfall,Bottle,3.5
Redmonaro,Bottle,3.75
jep1025,,4.0
evogel1993,,4.0
Mattalv11,Can,3.0
wimmen,Bottle,4.0
daanliempde,Can,3.5
Keshavp,,3.25
klerk01,Can,3.5
maicha28,Bottle,3.5
adamhardin,Bottle,3.5
babybutton522,,3.5
Baronofbattlefield,Bottle,3.0
kiidflash,,2.75
ChristianArafol,Bottle,4.5
adejong232,Bottle,3.5
dhstallman,Bottle,3.75
Luizseidl18,Bottle,3.75
jaygoody,,4.0
Kees1959,Can,3.0
bradleysbell9,Bottle,4.0
EvdE,Can,3.5
opperdop,Can,3.5
Sad_Albert,Bottle,3.5
DonPaco,,3.25
Jeffd78,Bottle,3.5
wolorn,Can,3.5
kevincox3133,,3.5
jtoom5,,3.5
APjr,,3.75
amfansle,Bottle,3.0
Pdkersch,,2.75
pbhise,Bottle,4.5
de-beer,Bottle,3.5
bootyfoos,Bottle,3.75
jsel20,,4.0
had2muchbeer,Can,3.0
ilsadz,Can,3.5
trafikdoktorn,Bottle,4.0
jmgarde,Bottle,4.0
martindenyer71,Bottle,3.5
magneohm,,3.25
danbanks1,,3.25
Starrskii,Bottle,3.5
kiidflash,Can,3.5
fmcd925,,3.5
DeadRed233,,3.75
homolupulus,,3.75
cinnamon228,Bottle,3.0
vocoda,Bottle,3.0
Jonnymiller2015,,2.75
Gil_the_grill,Bottle,4.5
tsamaya,Bottle,3.5
Grosji,Bottle,3.5
MadGuy,Bottle,3.75
RubenDan,Bottle,3.0
bhiltz1711,,4.0
yolomark,,3.75
Vandeheldere,Can,3.0
SanSamurai,Can,3.5
meskuz,Bottle,4.0
Tompayne37,Bottle,4.0
Therealbigmike9,Bottle,3.5
Borgeos,,3.25
JavierRubio4U,,3.25
FadGadget,Bottle,3.5
Teun050,Can,3.5
Jorman1086,,3.5
D-Jetten,,3.75
KimmiAnn,,3.75
ROBIROSA,Bottle,3.0
Butscrathchar,,2.75
Connormaker,Bottle,4.5
bullitt91,Bottle,3.5
SinHippie,Bottle,3.75
sims71,Bottle,3.0
Beer_Bear17,,4.0
Richardmillsjr,,4.0
snakeeater,,3.75
mjcewl1284,Can,3.0
GhostHobgoblin,Can,3.0
NatjeDH,Can,3.5
jeankes2,Bottle,4.0
alexchialastri,Bottle,3.5
Dundil,,3.25
LiviaFavilla,Bottle,3.5
cdub414,Bottle,3.5
007Jeroen,Can,3.5
landoncharles,,3.5
goaliemom24,,3.5
wheatmiester,,3.75
Kfitz767,,3.75
Pasanti,Bottle,3.0
jbcutting,,2.75
lexyayotte,Bottle,4.5
Cookietx,Bottle,4.5
TimHickford,Bottle,3.5
mkwells906,Bottle,3.75
danielaman,Bottle,3.0
Will_PSU,,4.0
Excruciator,,3.75
G-J85,,3.75
sebloonen,Bottle,4.0
hlconger,Bottle,3.5
dickeylehner03,Bottle,3.5
AlmuValero,,3.25
SDxt,Can,3.5
Edgeyfive,Can,3.5
Chloece,,3.5
kiidflash,,3.5
matte558833,,3.5
Lundqu48,,3.5
bludog11,,3.5
dirksm,,2.5
Fijnemiensj,,3.75
tammit,,3.75
bharatichandran,Bottle,3.0
jpedrot,Bottle,3.0
tcoate,,2.75
sewano,Bottle,4.5
Smooth___Hoperator,Bottle,3.5
dewey80,Bottle,3.75
wizofclay,Bottle,3.0
mattno14,Bottle,3.0
clholiday,,4.0
susantigoon,,3.75
seanholland,Bottle,3.5
Schepaandekook,,3.25
lucaerts,Can,3.5
sthicke,,3.5
